0	__background__
1	aeroplane
2	bicycle
3	bird
4	boat
5	bottle
6	bus
7	car
8	cat
9	chair
10	cow
11	diningtable
12	dog
13	horse
14	motorbike
15	person
16	pottedplant
17	sheep
18	sofa
19	train
20	tvmonitor

"0": 0.9407294592074947,
"1": 0.8817070021468574,
"2": 0.3902291810597564,
"3": 0.8590720038203398,
"4": 0.6509946140393268,
"5": 0.7981879180847866,
"6": 0.947401588756824,
"7": 0.855004095683567,
"8": 0.8998965793119598,
"9": 0.3745256606639463,
"10": 0.8495974393914825,
"11": 0.6201547561779768,
"12": 0.8431764080242975,
"13": 0.8417757672261013,
"14": 0.8215747659108349,
"15": 0.8527690239248813,
"16": 0.6586813771083404,
"17": 0.8589860965788388,
"18": 0.515094444790846,
"19": 0.8856227386931382,
"20": 0.7214840949070456
